  PID TTY      STAT   TIME COMMAND
 1714 ?        S      0:00 upstart-dbus-bridge --daemon --session --user --bus-name session
 1715 ?        S      0:00 upstart-dbus-bridge --daemon --system --user --bus-name system
 1717 ?        S      0:00 upstart-file-bridge --daemon --user
 1732 ?        Sl     0:01 /usr/lib/ibus/ibus-engine-simple
 1739 ?        Sl     0:01 /usr/lib/i386-linux-gnu/bamf/bamfdaemon
 1746 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 1753 ?        S<l    0:00 /usr/bin/pulseaudio --start --log-target=syslog
 1757 ?        Sl     0:00 /usr/lib/i386-linux-gnu/indicator-keyboard-service --use-gtk
 1761 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-messages/indicator-messages-service
 1763 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
 1765 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-power/indicator-power-service
 1768 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-datetime/indicator-datetime-service
 1771 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-sound/indicator-sound-service
 1774 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-printers/indicator-printers-service
 1782 ?        Sl     0:00 /usr/lib/i386-linux-gnu/notify-osd
 1788 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-session/indicator-session-service
 1801 ?        Sl     0:00 /usr/lib/evolution/evolution-source-registry
 1814 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-application/indicator-application-service
 1850 ?        Sl     2:26 compiz
 1861 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory
 1866 ?        Sl     0:11 nautilus -n
 1870 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 1872 ?        Sl     0:00 nm-applet
 1873 ?        Sl     0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
 1886 ?        Sl     0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1891 ?        S      0:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
 1894 ?        Sl     0:00 /usr/lib/udisks2/udisksd --no-debug
 1906 ?        Sl     0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1910 ?        Sl     0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1915 ?        Sl     0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1920 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
 1925 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/1
 1952 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
 1959 ?        Sl     0:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
 1960 ?        Sl     0:00 zeitgeist-datahub
 1967 ?        S      0:00 /bin/cat
 1971 ?        Sl     0:00 telepathy-indicator
 1978 ?        Sl     0:00 /usr/lib/telepathy/mission-control-5
 2012 ?        Sl     0:00 /usr/lib/i386-linux-gnu/unity-scope-home/unity-scope-home
 2025 ?        Sl     0:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
 2026 ?        Sl     0:00 /usr/lib/i386-linux-gnu/unity-lens-files/unity-files-daemon
 2064 ?        Sl     0:00 /usr/lib/i386-linux-gnu/unity-lens-music/unity-music-daemon
 2096 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-http --spawner :1.6 /org/gtk/gvfs/exec_spaw/2
 2161 ?        Sl     0:00 python3 /usr/lib/software-properties/software-properties-dbus
 2247 ?        Sl     0:00 update-notifier
 2348 ?        Sl     0:00 /usr/lib/i386-linux-gnu/deja-dup/deja-dup-monitor
 2393 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-metadata
 3388 ?        S      0:00 [kworker/u2:1]
 3796 ?        S      0:00 dbus-launch --autolaunch=5ae4ec40be7a5987d625e99e56c8ec41 --binary-syntax --close-stderr
 3797 ?        Ss     0:00 //bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
 3802 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 3804 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
 3810 ?        Sl     0:00 zeitgeist-datahub
 3818 ?        Sl     0:00 /usr/lib/gvfs/gvfsd
 3823 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /home/cyberpatriot/.gvfs -f -o big_writes
 4042 ?        Sl     0:03 gnome-terminal
 4050 ?        S      0:00 gnome-pty-helper
 4051 pts/1    Ss     0:00 bash
 4296 pts/1    S+     0:00 sudo ps ax
 4297 pts/1    R+     0:00 ps ax
